Model,InputTokens,InputLabel,Metric,Unit,395_Before,395_After_V5,Delta_pct,PositiveMeans,ReferenceContext,ComparisonContext,ReferenceThreads,ComparisonThreads,ReferencePower,ComparisonPower,ReferenceDriver,ComparisonDriver,ReferenceVulkanMemoryMiB,ComparisonVulkanMemoryMiB
Gemma 4 26B A4B,1024,1K,TTFT,ms,6037.040000,3147.573733,47.8623,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,1024,1K,TPOT,ms/token,30.370000,21.451237,29.3670,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,1024,1K,Throughput (Aggregate),tok/s,19.840000,31.369098,58.1104,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,1024,1K,Throughput (Normalized),tok/s/user,19.840000,31.369098,58.1104,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,2048,2K,TTFT,ms,8018.160000,5255.706200,34.4525,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,2048,2K,TPOT,ms/token,30.350000,22.536364,25.7451,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,2048,2K,Throughput (Aggregate),tok/s,17.570000,25.002476,42.3021,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,2048,2K,Throughput (Normalized),tok/s/user,17.570000,25.002476,42.3021,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,4096,4K,TTFT,ms,14394.440000,8259.303800,42.6216,395_After_V5 faster/better,65536,6144,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,4096,4K,TPOT,ms/token,31.310000,22.645757,27.6724,395_After_V5 faster/better,65536,6144,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,4096,4K,Throughput (Aggregate),tok/s,12.620000,19.924742,57.8823,395_After_V5 faster/better,65536,6144,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,4096,4K,Throughput (Normalized),tok/s/user,12.620000,19.924742,57.8823,395_After_V5 faster/better,65536,6144,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,8192,8K,TTFT,ms,33654.480000,19095.468267,43.2602,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,8192,8K,TPOT,ms/token,32.920000,23.736902,27.8952,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,8192,8K,Throughput (Aggregate),tok/s,6.900000,11.453172,65.9880,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,8192,8K,Throughput (Normalized),tok/s/user,6.900000,11.453172,65.9880,395_After_V5 faster/better,65536,10240,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,16384,16K,TTFT,ms,95240.480000,51733.539367,45.6811,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,16384,16K,TPOT,ms/token,35.680000,24.938714,30.1045,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,16384,16K,Throughput (Aggregate),tok/s,2.810000,5.065439,80.2647,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,16384,16K,Throughput (Normalized),tok/s/user,2.810000,5.065439,80.2647,395_After_V5 faster/better,65536,18432,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,32768,32K,TTFT,ms,534246.210000,178106.916633,66.6620,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,32768,32K,TPOT,ms/token,39.700000,27.911843,29.6931,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,32768,32K,Throughput (Aggregate),tok/s,0.550000,1.608994,192.5444,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
Gemma 4 26B A4B,32768,32K,Throughput (Normalized),tok/s/user,0.550000,1.608994,192.5444,395_After_V5 faster/better,65536,34816,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,1024,1K,TTFT,ms,1321.100000,1153.622200,12.6771,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,1024,1K,TPOT,ms/token,12.210000,12.403059,-1.5812,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,1024,1K,Throughput (Aggregate),tok/s,59.440000,60.820121,2.3219,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,1024,1K,Throughput (Normalized),tok/s/user,59.440000,60.820121,2.3219,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,2048,2K,TTFT,ms,1598.990000,1429.957967,10.5712,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,2048,2K,TPOT,ms/token,12.570000,12.637720,-0.5387,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
GPT-OSS 20B,2048,2K,Throughput (Aggregate),tok/s,56.030000,57.629377,2.8545,395_After_V5 faster/better,65536,4096,32,32,Silent,High Performance + OEM Performance/Turbo,32.0.31035.1003,32.0.31035.1003,24395,24395
